article_id,research_stream_id,research_stream,publisher_account,publisher_relation,title,source_url,content_status,quality_status,identity_status,figure_count,normalized_characters,quality_flags,published_date
guolei_macro-2026-09-09-广发宏观郭磊-通胀是供需关系的温度计,guolei_macro,郭磊宏观茶座,郭磊宏观茶座,exact,【广发宏观郭磊】通胀是供需关系的温度计,https://www.163.com/dy/article/L6F5LU4S0519IGF7.html,full_mirror,clean,verified_from_publisher_label,1,5067,,2026-09-09
huatai_macro-2026-09-04-华泰-宏观-8月预览-融资需求或持续偏弱,huatai_macro,华泰宏观,华泰睿思,configured_alias,华泰 | 宏观:8月预览——融资需求或持续偏弱,https://finance.sina.com.cn/stock/stockzmt/2026-09-04/doc-iniqrihy4005203.shtml,full_mirror,clean,verified_from_publisher_label,1,1995,,2026-09-04
sws_macro-2026-09-01-热点思考-一揽子化债-进展如何-申万宏观-赵伟团队,sws_macro,申万宏源宏观,申万宏源宏观,team_research_stream,热点思考 |  一揽子化债，进展如何？（申万宏观·赵伟团队）,https://news.qq.com/rain/a/20260901A0CBZ400,full_mirror,clean,verified_from_publisher_or_team_citation,29,6701,,2026-09-01
sws_macro-2026-08-27-国内高频-人流出行强度明显回升-申万宏观-赵伟团队,sws_macro,申万宏源宏观,申万宏源宏观,exact,国内高频 | 人流出行强度明显回升(申万宏观·赵伟团队),https://news.qq.com/rain/a/20260827A0B3A500,full_mirror,clean,verified_from_publisher_label,50,3405,,2026-08-27
sws_macro-2026-08-25-海外高频-非农低于预期-市场风险偏好小幅回升-申万宏观-赵伟团队,sws_macro,申万宏源宏观,申万宏源宏观,exact,"海外高频 | 非农低于预期,市场风险偏好小幅回升(申万宏观·赵伟团队)",https://news.qq.com/rain/a/20260705A04SGS00,full_mirror,clean,verified_from_publisher_label,58,5037,,2026-08-25
sws_macro-2026-08-25-海外高频-科技股抛售潮蔓延-全球股市多数下跌-申万宏观-赵伟团队,sws_macro,申万宏源宏观,申万宏源宏观,exact,"海外高频 | 科技股抛售潮蔓延,全球股市多数下跌(申万宏观·赵伟团队)",https://news.qq.com/rain/a/20260628A05IUQ00?app=news&id=20260628A05IUQ00&path=a&redirect_pc=1&suid,full_mirror,clean,verified_from_publisher_label,58,4940,,2026-08-25
sws_macro-2026-08-25-海外高频-中东地缘反复-美国通胀弱于预期-申万宏观-赵伟团队,sws_macro,申万宏源宏观,申万宏源宏观,exact,"海外高频 | 中东地缘反复,美国通胀弱于预期(申万宏观·赵伟团队)",http://finance.sina.com.cn/cj/2026-07-21/doc-iniinscy4967916.shtml,full_mirror,clean,verified_from_publisher_label,57,4712,,2026-08-25
sws_macro-2026-08-19-热点思考-个税-天平-向谁-倾斜-申万宏观-赵伟团队,sws_macro,申万宏源宏观,申万宏源宏观,team_research_stream,热点思考 | 个税“天平”向谁“倾斜”？（申万宏观·赵伟团队）,https://news.qq.com/rain/a/20260819A0BSFX00,full_mirror,clean,verified_from_publisher_or_team_citation,22,6021,,2026-08-19
sws_macro-2026-08-11-申万宏观-赵伟团队-长鑫上市-股权财政的转型尝试,sws_macro,申万宏源宏观,申万宏源宏观,team_research_stream,申万宏观·赵伟团队：长鑫上市，股权财政的转型尝试？,https://finance.sina.cn/stock/ggyj/2026-08-11/detail-inimyhkh5716396.d.html?cid=76524&node_id=76524&oid=3832534792463322,full_mirror,clean,verified_from_publisher_or_team_citation,42,6773,,2026-08-11
macrofans-2026-08-09-芦哲-7月非农-开始降温-2026年7月美国非农就业数据点评,macrofans,宏观fans哲,宏观fans哲,author_research_stream,芦哲：7月非农 开始降温——2026年7月美国非农就业数据点评,https://www.163.com/dy/article/L3SOCNQH0519IGF7.html,full_mirror,clean,verified_from_author_byline,7,2351,,2026-08-09
